Gói thầu,Chủ đầu tư,Ngày đăng tải,Đóng thầu,Đường dẫn
,CÔNG TY TRUYỀN TẢI ĐIỆN 1 - CHI NHÁNH TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,08:32 26/03/2026,15:00 04/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-10-th-26-sua-chua-mat-bang-phia-truoc-nha-dieu-khien-mat-bang-khu-vuc-may-bien-ap-at2-tram-bien-ap-1732103.html
,Bệnh Viện Đa Khoa Khu Vực Bồng Sơn,08:29 26/03/2026,10:00 03/04/2026,https://dauthau.asia/thongbao/moithau/bao-duong-sua-chua-va-thay-the-thiet-bi-hu-hong-tai-tram-xu-ly-nuoc-thai-thuoc-benh-vien-dkkv-bong-son-1732102.html
,CÔNG TY CỔ PHẦN LỌC HÓA DẦU BÌNH SƠN,08:24 26/03/2026,10:00 10/04/2026,https://dauthau.asia/thongbao/moithau/cung-cap-phu-tung-de-thay-the-du-phong-cho-cac-thiet-bi-thoi-muoi-than-va-cac-thiet-bi-quan-trong-khac-theo-1732101.html
,Bệnh Viện Đa Khoa Khu Vực Bồng Sơn,08:15 26/03/2026,10:00 03/04/2026,https://dauthau.asia/thongbao/moithau/bao-duong-son-tuong-mat-truoc-khu-kham-ky-thuat-nghiep-vu-5-tang-thuoc-benh-vien-dkkv-bong-son-1732099.html
,Trung tâm Khuyến công và Phát triển Công thương,08:14 26/03/2026,08:30 04/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-dan-dung-gian-hang-trang-tri-tong-the-va-cung-cap-cac-dich-vu-ha-tang-an-ninh-y-te-ve-sinh-moi-truong-1732100.html
,Bệnh viện đa khoa Ninh Thuận,08:13 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-sua-chua-may-tho-1732097.html
,Ủy ban nhân dân phường Yên Dũng,08:11 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/xay-dung-cong-trinh-1732098.html
,CÔNG TY NHIỆT ĐIỆN UÔNG BÍ-CHI NHÁNH TỔNG CÔNG TY PHÁT ĐIỆN 1,08:08 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/03ptv-sxkd-ub-2026-kiem-dinh-hieu-chuan-cac-thiet-bi-mau-chuan-do-luong-phuong-tien-do-can-chi-thi-va-thiet-bi-1732095.html
,Liên doanh Việt-Nga Vietsovpetro,08:07 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/vt-751-26-kt-tth-vat-tu-tieu-hao-cho-cong-tac-bom-tron-va-van-chuyen-hoa-pham-truoc-khi-chuyen-ra-gian-1732096.html
,Bệnh viện đa khoa Ninh Thuận,08:06 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-sua-chua-dau-camera-dung-trong-phau-thuat-noi-soi-1732094.html
,CÔNG TY CỔ PHẦN LỌC HÓA DẦU BÌNH SƠN,07:57 26/03/2026,10:00 10/04/2026,https://dauthau.asia/thongbao/moithau/mua-vat-tu-de-bao-duong-thiet-bi-trao-doi-nhiet-e-3301g-theo-don-hang-so-0049-1100004098-dh-khsx-1732093.html
,Công ty Cổ phần Điện lực Khánh Hòa,07:54 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-50-2026-mua-sam-vat-lieu-dien-1732092.html
,Ban Quản lý dự án phường Bảo An,07:52 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-07-thi-cong-xay-dung-cong-trinh-1732091.html
,CÔNG TY THỦY ĐIỆN HUỘI QUẢNG - BẢN CHÁT - CHI NHÁNH TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM,07:35 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-vat-tu-phuc-vu-thao-ong-lot-van-dia-to-may-h1-nmtd-huoi-quang-1732090.html
,Bệnh viện đa khoa Thống Nhất tỉnh Đồng Nai,00:17 26/03/2026,09:00 02/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-03-mua-sam-may-moc-thiet-bi-y-te-cho-khoa-noi-soi-1732088.html
,Trung tâm cung ứng dịch vụ phường Cao Xanh,22:47 25/03/2026,09:00 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-06-thi-cong-xay-dung-cong-trinh-1732087.html
,Bệnh viện Đại học Y Dược,21:45 25/03/2026,14:00 01/04/2026,https://dauthau.asia/thongbao/moithau/cung-cap-thuoc-generic-bo-sung-quy-i-nam-2026-1732086.html
,Ban Quản lý dự án đầu tư xây dựng khu vực Bắc Hà,21:37 25/03/2026,09:00 05/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-03-thi-cong-xay-dung-bao-gom-chi-phi-xay-dung-chi-phi-di-chuyen-moc-phao-binh-dam-bao-giao-thong-1732085.html
,Ủy ban MTTQ Việt Nam phường Vũng Tàu,21:17 25/03/2026,09:30 31/03/2026,https://dauthau.asia/thongbao/moithau/mua-sam-hoan-thien-ha-tang-trang-thiet-bi-cong-nghe-thong-tin-tai-uy-ban-mat-tran-to-quoc-viet-nam-phuong-1732084.html
,Phòng Kinh tế xã Nà Hỳ tỉnh Điện Biên,21:15 25/03/2026,08:00 04/04/2026,https://dauthau.asia/thongbao/moithau/thi-cong-xay-dung-1732083.html
,Ban truyền hình tiếng dân tộc,20:31 25/03/2026,20:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-bo-cg-chay-chu-phat-song-tong-khong-che-1732082.html
,CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP THAN – KHOÁNG SẢN VIỆT NAM - CÔNG TY NHÔM ĐẮK NÔNG-TKV,20:28 25/03/2026,09:00 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-so-03-thi-cong-sua-chua-lon-tai-san-co-dinh-la-vat-kien-truc-phan-xuong-nguyen-lieu-hoa-tach-va-phan-xuong-1732081.html
,TỔNG CÔNG TY ĐIỆN LỰC THÀNH PHỐ HÀ NỘI,20:19 25/03/2026,10:00 13/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-8-tu-van-giam-sat-thi-cong-cong-trinh-1732080.html
,Văn phòng Đảng uỷ Phường Vũng Tàu,20:11 25/03/2026,15:00 03/04/2026,https://dauthau.asia/thongbao/moithau/hoan-thien-ha-tang-trang-thiet-bi-cong-nghe-thong-tin-phuc-vu-cong-tac-chuyen-doi-so-cua-dang-uy-phuong-vung-1732079.html
,Báo Quân đội nhân dân,19:27 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-hh-06-phan-mem-ao-hoa-1732078.html
,Báo Quân đội nhân dân,19:26 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-hh-05-cung-cap-trang-thiet-bi-va-dich-vu-1732076.html
,Báo Quân đội nhân dân,19:25 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-dv-04-bao-tri-va-toi-uu-hoa-phan-mem-toa-soan-dien-tu-phan-mem-mam-chuyen-trang-audio-video-phan-mem-1732077.html
,Báo Quân đội nhân dân,19:24 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-dv-03-bao-tri-toi-uu-hoa-phan-mem-xuat-ban-bao-dien-tu-1732075.html
,Liên doanh Việt-Nga Vietsovpetro,19:14 25/03/2026,09:00 10/04/2026,https://dauthau.asia/thongbao/moithau/thiet-bi-vat-tu-bao-chay-bao-khi-fgs-cho-lap-dat-ket-noi-pig-launcher-receiver-skid-lo-09-1-goi-thau-so-vt-627-1732074.html
,Tổng công ty đầu tư phát triển đường cao tốc Việt Nam - Công ty TNHH Một thành viên,19:10 25/03/2026,10:00 13/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-sc2-cgnb-2026-thay-the-he-thong-atgt-theo-quy-chuan-qcvn-41-2024-bgtvt-va-son-vach-ke-duong-toan-1732073.html
,BỆNH VIỆN ĐÀ NẴNG,18:59 25/03/2026,11:00 01/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-bo-sung-vat-tu-y-te-thiet-yeu-nam-2026-1732072.html
,CÔNG TY QUẢN LÝ TÀI SẢN VIETTEL - CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,18:56 25/03/2026,10:00 31/03/2026,https://dauthau.asia/thongbao/moithau/thi-cong-cai-tao-va-lap-dat-thiet-bi-noi-that-1732071.html
,CÔNG TY TRUYỀN TẢI ĐIỆN 4 - CHI NHÁNH TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,18:50 25/03/2026,09:00 13/04/2026,https://dauthau.asia/thongbao/moithau/khao-sat-lap-bao-cao-kinh-te-ky-thuat-va-ho-so-moi-thau-1732070.html
,Bệnh viện Đa khoa khu vực miền núi phía Bắc Quảng Nam,18:42 25/03/2026,10:00 20/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-thuoc-duoc-lieu-thuoc-co-ket-hop-duoc-chat-voi-cac-duoc-lieu-thuoc-co-truyen-khong-ap-dung-doi-voi-vi-1732069.html
,"Phòng Kinh tế, Hạ tầng và Đô thị phường Bình Thủy",18:14 25/03/2026,08:00 03/04/2026,https://dauthau.asia/thongbao/moithau/duy-tu-sua-chua-den-chieu-sang-cong-cong-den-tin-hieu-giao-thong-den-trang-tri-cac-ngay-le-tet-tren-dia-ban-1732068.html
,CÔNG TY ĐIỆN LỰC THƯỜNG TÍN,18:09 25/03/2026,09:00 01/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-04-sxkd-2026-mua-sam-vat-tu-thiet-bi-phuc-vu-cong-tac-san-xuat-kinh-doanh-1732067.html
,CÔNG TY TRUYỀN TẢI ĐIỆN 4 - CHI NHÁNH TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,18:08 25/03/2026,08:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-6-cung-cap-vat-tu-sua-chua-may-bien-ap-1732066.html
,Trung tâm Dịch vụ công ngành Tài chính và Đầu tư phát triển tỉnh Nghệ An,18:04 25/03/2026,15:00 15/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-01-mua-sam-tap-trung-thiet-bi-van-phong-dot-1-nam-2026-1732064.html
,Bệnh viện Mắt Trung ương,18:04 25/03/2026,10:00 06/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-thiet-bi-cong-nghe-thong-tin-nam-2026-tai-benh-vien-mat-trung-uong-1732065.html
,CÔNG TY ĐIỆN LỰC THƯỜNG TÍN,17:59 25/03/2026,09:00 31/03/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-02-sxkd-cung-cap-dich-vu-bao-ve-va-ve-sinh-tai-tru-so-2-tru-so-3-cong-ty-dien-luc-thuong-tin-nam-1732062.html
